Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","YS-SK6812MINI-E","YS-SK6812MINI-E",-31.813500,-23.812500,0.000000,bottom
"LED2","YS-SK6812MINI-E","YS-SK6812MINI-E",-50.863500,-23.812500,0.000000,bottom
"LED3","YS-SK6812MINI-E","YS-SK6812MINI-E",-69.913500,-21.907500,0.000000,bottom
"LED4","YS-SK6812MINI-E","YS-SK6812MINI-E",-91.922248,-27.071373,-12.000000,bottom
"LED5","YS-SK6812MINI-E","YS-SK6812MINI-E",-110.555960,-31.032090,-12.000000,bottom
"LED6","YS-SK6812MINI-E","YS-SK6812MINI-E",-129.189672,-34.992808,-12.000000,bottom
"LED7","YS-SK6812MINI-E","YS-SK6812MINI-E",-147.823383,-38.953526,-12.000000,bottom
"LED8","YS-SK6812MINI-E","YS-SK6812MINI-E",-173.364146,-35.666137,12.000000,bottom
"LED9","YS-SK6812MINI-E","YS-SK6812MINI-E",-191.997857,-31.705419,12.000000,bottom
"LED10","YS-SK6812MINI-E","YS-SK6812MINI-E",-210.631569,-27.744701,12.000000,bottom
"LED11","YS-SK6812MINI-E","YS-SK6812MINI-E",-229.265281,-23.783984,12.000000,bottom
"LED12","YS-SK6812MINI-E","YS-SK6812MINI-E",-253.365000,-22.860000,0.000000,bottom
"LED13","YS-SK6812MINI-E","YS-SK6812MINI-E",-272.415000,-23.812500,0.000000,bottom
"LED14","YS-SK6812MINI-E","YS-SK6812MINI-E",-300.990000,-23.812500,0.000000,bottom
"LED15","YS-SK6812MINI-E","YS-SK6812MINI-E",-340.995000,-23.812500,0.000000,bottom
"LED16","YS-SK6812MINI-E","YS-SK6812MINI-E",-33.338000,-42.862500,0.000000,bottom
"LED17","YS-SK6812MINI-E","YS-SK6812MINI-E",-57.150000,-42.862500,0.000000,bottom
"LED18","YS-SK6812MINI-E","YS-SK6812MINI-E",-79.576360,-43.922761,-12.000000,bottom
"LED19","YS-SK6812MINI-E","YS-SK6812MINI-E",-98.210072,-47.883479,-12.000000,bottom
"LED20","YS-SK6812MINI-E","YS-SK6812MINI-E",-116.843784,-51.844197,-12.000000,bottom
"LED21","YS-SK6812MINI-E","YS-SK6812MINI-E",-135.477495,-55.804914,-12.000000,bottom
"LED22","YS-SK6812MINI-E","YS-SK6812MINI-E",-169.871379,-55.884136,12.000000,bottom
"LED23","YS-SK6812MINI-E","YS-SK6812MINI-E",-188.505090,-51.923418,12.000000,bottom
"LED24","YS-SK6812MINI-E","YS-SK6812MINI-E",-207.138802,-47.962700,12.000000,bottom
"LED25","YS-SK6812MINI-E","YS-SK6812MINI-E",-225.772514,-44.001983,12.000000,bottom
"LED26","YS-SK6812MINI-E","YS-SK6812MINI-E",-249.555000,-41.910000,0.000000,bottom
"LED27","YS-SK6812MINI-E","YS-SK6812MINI-E",-268.605000,-42.862500,0.000000,bottom
"LED28","YS-SK6812MINI-E","YS-SK6812MINI-E",-287.655000,-42.862500,0.000000,bottom
"LED29","YS-SK6812MINI-E","YS-SK6812MINI-E",-311.468000,-42.862500,0.000000,bottom
"LED30","YS-SK6812MINI-E","YS-SK6812MINI-E",-342.900000,-42.862500,0.000000,bottom
"LED31","YS-SK6812MINI-E","YS-SK6812MINI-E",-31.909000,-61.912500,0.000000,bottom
"LED32","YS-SK6812MINI-E","YS-SK6812MINI-E",-58.102500,-61.912500,0.000000,bottom
"LED33","YS-SK6812MINI-E","YS-SK6812MINI-E",-80.274070,-63.546653,-12.000000,bottom
"LED34","YS-SK6812MINI-E","YS-SK6812MINI-E",-98.907782,-67.507370,-12.000000,bottom
"LED35","YS-SK6812MINI-E","YS-SK6812MINI-E",-117.541494,-71.468088,-12.000000,bottom
"LED36","YS-SK6812MINI-E","YS-SK6812MINI-E",-136.175206,-75.428806,-12.000000,bottom
"LED37","YS-SK6812MINI-E","YS-SK6812MINI-E",-176.627153,-73.923740,12.000000,bottom
"LED38","YS-SK6812MINI-E","YS-SK6812MINI-E",-195.260865,-69.963022,12.000000,bottom
"LED39","YS-SK6812MINI-E","YS-SK6812MINI-E",-213.894577,-66.002304,12.000000,bottom
"LED40","YS-SK6812MINI-E","YS-SK6812MINI-E",-232.528288,-62.041587,12.000000,bottom
"LED41","YS-SK6812MINI-E","YS-SK6812MINI-E",-255.270000,-61.912500,0.000000,bottom
"LED42","YS-SK6812MINI-E","YS-SK6812MINI-E",-274.320000,-61.912500,0.000000,bottom
"LED43","YS-SK6812MINI-E","YS-SK6812MINI-E",-305.350600,-61.912500,0.000000,bottom
"LED44","YS-SK6812MINI-E","YS-SK6812MINI-E",-344.805000,-61.912500,0.000000,bottom
"LED45","YS-SK6812MINI-E","YS-SK6812MINI-E",-31.030600,-80.962500,0.000000,bottom
"LED46","YS-SK6812MINI-E","YS-SK6812MINI-E",-61.912500,-80.962500,0.000000,bottom
"LED47","YS-SK6812MINI-E","YS-SK6812MINI-E",-84.698523,-83.962687,-12.000000,bottom
"LED48","YS-SK6812MINI-E","YS-SK6812MINI-E",-103.332235,-87.923405,-12.000000,bottom
"LED49","YS-SK6812MINI-E","YS-SK6812MINI-E",-121.965946,-91.884123,-12.000000,bottom
"LED50","YS-SK6812MINI-E","YS-SK6812MINI-E",-140.599658,-95.844840,-12.000000,bottom
"LED51","YS-SK6812MINI-E","YS-SK6812MINI-E",-172.202700,-94.339775,12.000000,bottom
