Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0805_2012Metric",90.025000,123.200000,0.000000,top
"C2","22p","C_0805_2012Metric",44.725000,79.450000,0.000000,top
"C3","1u","C_0805_2012Metric",38.975000,73.480000,0.000000,top
"C4","0.1u","C_0805_2012Metric",159.065000,193.120000,0.000000,top
"C5","0.1u","C_0805_2012Metric",118.665000,152.240000,0.000000,top
"C6","0.1u","C_0805_2012Metric",138.865000,172.440000,0.000000,top
"C7","0.1u","C_0805_2012Metric",69.825000,103.000000,0.000000,top
"C8","10u","C_0805_2012Metric",58.915000,91.640000,0.000000,top
"D1","D_Small","D_SOD-123",9.875000,47.670000,0.000000,top
"D2","D_Small","D_SOD-123",113.565000,152.070000,0.000000,top
"D3","D_Small","D_SOD-123",119.315000,155.420000,0.000000,top
"D4","D_Small","D_SOD-123",62.035000,99.480000,0.000000,top
"D5","D_Small","D_SOD-123",56.285000,98.170000,0.000000,top
"D6","D_Small","D_SOD-123",137.085000,182.320000,0.000000,top
"D7","D_Small","D_SOD-123",64.725000,102.830000,0.000000,top
"D8","D_Small","D_SOD-123",76.485000,121.720000,0.000000,top
"D9","D_Small","D_SOD-123",59.565000,94.820000,0.000000,top
"D10","D_Small","D_SOD-123",7.275000,54.370000,0.000000,top
"D11","D_Small","D_SOD-123",4.125000,38.880000,0.000000,top
"D12","D_Small","D_SOD-123",73.165000,115.020000,0.000000,top
"D13","D_Small","D_SOD-123",116.885000,158.770000,0.000000,top
"D14","D_Small","D_SOD-123",44.525000,85.980000,0.000000,top
"D15","D_Small","D_SOD-123",131.075000,166.780000,0.000000,top
"D16","D_Small","D_SOD-123",76.485000,118.370000,0.000000,top
"D17","D_Small","D_SOD-123",105.125000,143.230000,0.000000,top
"D18","D_Small","D_SOD-123",122.635000,160.080000,0.000000,top
"D19","D_Small","D_SOD-123",24.325000,62.430000,0.000000,top
"D20","D_Small","D_SOD-123",102.435000,139.880000,0.000000,top
"D21","D_Small","D_SOD-123",145.525000,183.630000,0.000000,top
"D22","D_Small","D_SOD-123",110.875000,146.580000,0.000000,top
"D23","D_Small","D_SOD-123",96.685000,141.920000,0.000000,top
"D24","D_Small","D_SOD-123",30.075000,65.780000,0.000000,top
"D25","D_Small","D_SOD-123",139.515000,175.620000,0.000000,top
"D26","D_Small","D_SOD-123",153.965000,192.950000,0.000000,top
"D27","D_Small","D_SOD-123",13.025000,51.020000,0.000000,top
"D28","D_Small","D_SOD-123",137.085000,178.970000,0.000000,top
"D29","D_Small","D_SOD-123",159.715000,196.300000,0.000000,top
